time,P(B1|X1|X5|X73),P(B2|X1|X5|X73),P(B1|X1|X5|X32),P(B2|X1|X5|X32),P(B1|X1|X5|X34),P(B2|X1|X5|X34),P(B1|X1|X1),P(B2|X1|X1),P(B1|X2|X1),P(B2|X2|X1),P(B1|X5|X1),P(B2|X5|X1),P(B1|X7|X1),P(B2|X7|X1),V(R31),V(R51),V(R72)
8.2e-12,0.2744975,0.499635,0.2744975,0.499635,0.2744076,0.4994869,0.2548429,0.4623583,0.2691704,0.4859012,0.04584906,0.1123631,0.3637049,0.6112568,-7.233207e-06,-7.233207e-06,2.481154e-05
8.3e-12,0.2914642,0.5297922,0.2914642,0.5297922,0.2913624,0.529625,0.2719641,0.4927696,0.2882577,0.5196126,0.03704214,0.0962697,0.4100526,0.6909105,-7.589207e-06,-7.589207e-06,2.631958e-05
8.4e-12,0.3093439,0.561421,0.3093439,0.561421,0.309229,0.5612326,0.2901426,0.524923,0.3085486,0.5553099,0.02826189,0.07908415,0.4596196,0.776259,-7.962763e-06,-7.962763e-06,2.790964e-05
8.5e-12,0.3281665,0.5945402,0.3281665,0.5945402,0.3280371,0.5943286,0.3094239,0.558867,0.3300746,0.5930167,0.02005015,0.06152784,0.511947,0.8663553,-8.354622e-06,-8.354622e-06,2.958492e-05
8.6e-12,0.347959,0.6291591,0.347959,0.6291591,0.3478135,0.6289221,0.32985,0.5946386,0.3528566,0.6327313,0.01302925,0.04451192,0.5664272,0.9598803,-8.765539e-06,-8.765539e-06,3.134846e-05
8.7e-12,0.368745,0.665275,0.368745,0.665275,0.3685818,0.6650103,0.3514585,0.6322601,0.3769034,0.6744223,0.007869577,0.02911564,0.6223166,1.055159,-9.196268e-06,-9.196268e-06,3.320313e-05
8.8e-12,0.3905434,0.7028719,0.3905434,0.7028719,0.3903608,0.7025771,0.3742806,0.671736,0.4022103,0.7180244,0.005248949,0.01654809,0.6787572,1.150213,-9.647554e-06,-9.647554e-06,3.515154e-05
8.9e-12,0.413368,0.7419179,0.413368,0.7419179,0.4131641,0.7415908,0.3983401,0.7130495,0.4287579,0.7634351,0.005807923,0.008095004,0.7348027,1.242857,-1.012013e-05,-1.012013e-05,3.719595e-05
9e-12,0.4372257,0.7823641,0.4372257,0.7823641,0.4369986,0.7820022,0.4236511,0.7561583,0.4565111,0.8105124,0.01010611,0.005054547,0.7894497,1.33083,-1.06147e-05,-1.06147e-05,3.93382e-05
9.1e-12,0.4621157,0.824142,0.4621157,0.824142,0.4618635,0.8237431,0.4502164,0.8009921,0.4854184,0.859074,0.01858452,0.008667029,0.841672,1.411954,-1.113193e-05,-1.113193e-05,4.157955e-05
9.2e-12,0.4880282,0.8671626,0.4880282,0.8671626,0.4877489,0.8667245,0.4780255,0.8474482,0.5154115,0.9088971,0.03153835,0.02004458,0.8904567,1.484296,-1.167245e-05,-1.167245e-05,4.392059e-05
9.3e-12,0.5149431,0.9113144,0.5149431,0.9113144,0.5146347,0.9108352,0.5070526,0.8953901,0.5464049,0.9597212,0.04910302,0.0401067,0.9348438,1.54633,-1.223681e-05,-1.223681e-05,4.636107e-05
9.4e-12,0.5428286,0.9564635,0.5428286,0.9564635,0.5424889,0.9559413,0.5372547,0.9446444,0.5782956,1.011252,0.07125499,0.06952698,0.9739679,1.59705,-1.282551e-05,-1.282551e-05,4.889976e-05
9.5e-12,0.57164,1.002453,0.57164,1.002453,0.5712672,1.001886,0.5685699,0.9950012,0.6109632,1.063166,0.09782652,0.1086947,1.007102,1.636043,-1.343892e-05,-1.343892e-05,5.153426e-05
9.6e-12,0.6013188,1.049102,0.6013188,1.049102,0.600911,1.04849,0.6009157,1.046214,0.6442701,1.115121,0.1285319,0.1576929,1.033702,1.6635,-1.407731e-05,-1.407731e-05,5.42608e-05
9.7e-12,0.6317917,1.096212,0.6317917,1.096212,0.6313472,1.095554,0.6341877,1.098002,0.6780626,1.166761,0.1630014,0.2162936,1.053448,1.680162,-1.474082e-05,-1.474082e-05,5.707406e-05
9.8e-12,0.66297,1.143563,0.66297,1.143563,0.6624871,1.142858,0.6682592,1.150055,0.7121714,1.217729,0.2008177,0.2839661,1.066279,1.687227,-1.542941e-05,-1.542941e-05,5.996692e-05
9.9e-12,0.6947491,1.190919,0.6947491,1.190919,0.6942267,1.190169,0.7029807,1.202039,0.7464143,1.26768,0.2415503,0.3598982,1.072419,1.686218,-1.614286e-05,-1.614286e-05,6.293027e-05
1e-11,0.7270092,1.238036,0.7270092,1.238036,0.7264462,1.237241,0.7381808,1.253602,0.7805985,1.316284,0.2847828,0.4430245,1.072378,1.678843,-1.688074e-05,-1.688074e-05,6.595281e-05
1.01e-11,0.7596156,1.284662,0.7596156,1.284662,0.7590113,1.283824,0.7736678,1.304387,0.8145242,1.363246,0.3301307,0.5320612,1.066949,1.666855,-1.764237e-05,-1.764237e-05,6.902084e-05
1.02e-11,0.79242,1.330544,0.79242,1.330544,0.7917741,1.329665,0.8092325,1.35404,0.8479887,1.408307,0.377247,0.6255457,1.057167,1.651941,-1.842682e-05,-1.842682e-05,7.211808e-05
1.03e-11,0.8252623,1.375437,0.8252623,1.375437,0.8245751,1.374519,0.8446511,1.402221,0.8807916,1.451254,0.4258171,0.7218812,1.044257,1.635635,-1.923285e-05,-1.923285e-05,7.52256e-05
1.04e-11,0.8579733,1.419104,0.8579733,1.419104,0.8572454,1.418151,0.8796905,1.448617,0.91274,1.491925,0.475545,0.8193877,1.029564,1.619266,-2.00589e-05,-2.00589e-05,7.832168e-05
1.05e-11,0.8903773,1.46133,0.8903773,1.46133,0.8896099,1.460346,0.9141135,1.492949,0.9436541,1.53021,0.5261332,0.9163613,1.01446,1.603938,-2.090308e-05,-2.090308e-05,8.138189e-05
1.06e-11,0.9222957,1.501921,0.9222957,1.501921,0.9214904,1.500908,0.9476845,1.534984,0.9733721,1.56605,0.5772622,1.01114,1.000264,1.59053,-2.176312e-05,-2.176312e-05,8.437915e-05
1.07e-11,0.9535507,1.540708,0.9535507,1.540708,0.9527099,1.539672,0.9801766,1.574538,1.001755,1.599435,0.6285737,1.102179,0.9881493,1.579718,-2.263639e-05,-2.263639e-05,8.728396e-05
1.08e-11,0.9839697,1.577555,0.9839697,1.577555,0.9830959,1.576501,1.011378,1.611481,1.028692,1.630396,0.6796598,1.188121,0.9790775,1.571998,-2.351988e-05,-2.351988e-05,9.006471e-05
1.09e-11,1.013389,1.612357,1.013389,1.612357,1.012485,1.611289,1.041099,1.645737,1.054099,1.659001,0.7300636,1.267865,0.973744,1.567713,-2.44102e-05,-2.44102e-05,9.268818e-05
1.1e-11,1.041657,1.645043,1.041657,1.645043,1.040727,1.643965,1.069175,1.677285,1.077924,1.685347,0.7792897,1.340626,0.9725535,1.567078,-2.530356e-05,-2.530356e-05,9.512016e-05
